Experiment	BigWig	Tissue
ENCSR228BOM	ENCFF434WEU	right_lung_male_fetal_115_days
ENCSR228IKB	ENCFF736OLR	body_of_pancreas_male_adult_54_years
ENCSR237WJY	ENCFF707TYP	uterus_female_adult_53_years
ENCSR240TPI	ENCFF203XBQ	ELR
ENCSR246PXX	ENCFF507VGV	stomach_male_child_3_years
ENCSR247IUJ	ENCFF189YNN	B_cell_male_adult_37_years
ENCSR249BYV	ENCFF185GPW	muscle_of_leg_male_fetal_113_days
ENCSR251UPG	ENCFF471ZPZ	foreskin_fibroblast_male_newborn
ENCSR254AGA	ENCFF960JBA	renal_cortex_interstitium_male_fetal_91_day
ENCSR258IBL	ENCFF783JUL	left_renal_pelvis_male_fetal_105_days
ENCSR261SMF	ENCFF606LWE	iPS_DF_6.9_male_newborn
ENCSR262QJC	ENCFF607ZFS	kidney_male_fetal_87_days
ENCSR263IGU	ENCFF334CFO	right_lung_female_fetal_91_day
ENCSR265TEK	ENCFF240HWQ	NCI-H226
ENCSR268QCH	ENCFF487OGC	right_renal_cortex_interstitium_male_fetal_105_days
ENCSR269SIA	ENCFF950NJG	G401
ENCSR270LZE	ENCFF893XPJ	muscle_of_arm_male_fetal_113_days
ENCSR271QSV	ENCFF400OJL	common_myeloid_progenitorCD34-positive_male_adult
ENCSR272RQX	ENCFF908GVS	muscle_of_leg_female_fetal_113_days
ENCSR278FHC	ENCFF755WOS	testis_male_fetal
ENCSR278FVO	ENCFF593XYH	neuronal_stem_cell
ENCSR281HBB	ENCFF318UXX	common_myeloid_progenitorCD34-positive_male_adult_49_years
ENCSR282QFE	ENCFF758FEM	stomach_female_fetal_121_day
ENCSR286WIA	ENCFF596UXK	muscle_of_leg_female_fetal_105_days
ENCSR294QCR	ENCFF159UNW	muscle_of_leg_male_fetal_97_days
ENCSR295DUI	ENCFF418ZRX	left_kidney_female_fetal_87_days
ENCSR295ELC	ENCFF196ROU	muscle_of_back_male_fetal_97_days
