Experiment	BigWig	Tissue
ENCSR840QVX	ENCFF644KNU	muscle of arm male fetal (91 day)
ENCSR619BNL	ENCFF796ATB	muscle of arm male fetal (97 days)
ENCSR951XEN	ENCFF619NOM	muscle of arm male fetal (104 days)
ENCSR949JYS	ENCFF018MQU	muscle of arm male fetal (105 days)
ENCSR270LZE	ENCFF328PTA	muscle of arm male fetal (113 days)
ENCSR868XPR	ENCFF946XPY	muscle of arm male fetal (115 days)
ENCSR649PJN	ENCFF577XUL	muscle of arm male fetal (97 days)
ENCSR452EGE	ENCFF935BDE	muscle of arm male fetal (120 days)
ENCSR062DXC	ENCFF140YWN	muscle of arm female fetal (115 days)
ENCSR356QCD	ENCFF697ACM	muscle of arm male fetal (101 day)
ENCSR786FWF	ENCFF945ZIU	muscle of back male fetal (127 days)
ENCSR106RBR	ENCFF186TCQ	muscle of back female fetal (115 days)
ENCSR174GXG	ENCFF191SLZ	muscle of back male fetal (101 day)
ENCSR585CGU	ENCFF053TOL	muscle of back female fetal (105 days)
ENCSR141NSQ	ENCFF117MAG	muscle of back male fetal (104 days)
ENCSR438TWI	ENCFF207XQQ	muscle of back male fetal (96 days)
ENCSR357RED	ENCFF481YWL	muscle of back male fetal (105 days)
ENCSR295ELC	ENCFF600GRS	muscle of back male fetal (97 days)
ENCSR476SDZ	ENCFF622CYO	muscle of back male fetal (108 days)
ENCSR072NBR	ENCFF521ZFM	muscle of back female fetal (98 days)
ENCSR317SIH	ENCFF101CST	muscle of back male fetal (91 day)
ENCSR698CUE	ENCFF542JXU	muscle of back male fetal (96 days)
ENCSR193LYA	ENCFF226NJP	muscle of back female fetal (85 days)
ENCSR010ZMK	ENCFF286GLX	muscle of back female fetal (113 days)
ENCSR033STL	ENCFF066GCS	muscle of back female fetal (105 days)
ENCSR294QCR	ENCFF846VYL	muscle of leg male fetal (97 days)
ENCSR622CAH	ENCFF320NVG	muscle of leg male fetal (127 days)
ENCSR059LXL	ENCFF575ZWL	muscle of leg male fetal (96 days)
ENCSR249BYV	ENCFF946RUK	muscle of leg male fetal (113 days)
ENCSR861NUH	ENCFF236RHY	muscle of leg male fetal (104 days)
ENCSR167XSQ	ENCFF840DMT	muscle of leg male fetal (101 day)
ENCSR938UOR	ENCFF777YWZ	muscle of leg female fetal (115 days)
ENCSR514QHN	ENCFF131TCV	muscle of leg male fetal (105 days)
ENCSR297ORG	ENCFF905HSN	muscle of leg male fetal (96 days)
ENCSR033DQS	ENCFF488QOS	muscle of leg male fetal (97 days)
ENCSR272RQX	ENCFF026EVC	muscle of leg female fetal (113 days)
ENCSR937RVN	ENCFF158TEN	muscle of leg male fetal (115 days)
ENCSR198JXW	ENCFF935HWY	muscle of leg female fetal (85 days)
ENCSR286WIA	ENCFF455PCU	muscle of leg female fetal (105 days)
ENCSR440FZS	ENCFF623YQT	muscle of trunk female fetal (113 days)
ENCSR217YRJ	ENCFF129SRH	muscle of trunk female fetal (120 days)
ENCSR411MGY	ENCFF179KIJ	muscle of trunk female fetal (121 day)
ENCSR000EOP	ENCFF450GPM	myotube derived from skeletal muscle myoblast
ENCSR000EOP	ENCFF338JJZ	myotube derived from skeletal muscle myoblast
ENCSR000EMM	ENCFF947DHP	naive thymus-derived CD4-positive, alpha-beta T cell female adult (35 years)
ENCSR662HMO	ENCFF264OVS	NAMALWA
ENCSR662HMO	ENCFF942NIF	NAMALWA
ENCSR723JLG	ENCFF482SAP	natural killer cell female adult (34 years)
