Experiment	BigWig	Tissue
ENCSR820MXK	ENCFF891KCD	muscle_of_leg_tissue_female_fetal_110_days
ENCSR827BTK	ENCFF520APO	muscle_of_trunk_tissue_female_fetal_121_day
ENCSR896TVA	ENCFF584UTR	myoepithelial_of_mammary_gland_primary_cell_female_adult_33_years
ENCSR184WKQ	ENCFF848NPS	myotube_in_vitro_differentiated_cells
ENCSR269OKX	ENCFF707TUY	natural_killer_primary_cell_male_adult_21_year
ENCSR000DWP	ENCFF001FYQ	NB4_immortalized_cell_line
ENCSR082NQB	ENCFF147OBU	NCI-H929
ENCSR608VNA	ENCFF208EDB	neural_cell
ENCSR661MUS	ENCFF644BAH	neural_progenitor_cell_derived_from_H9
ENCSR155HHQ	ENCFF887LRZ	neuron_in_vitro_differentiated_cells
ENCSR539JGB	ENCFF378LUG	neuronal_stem_in_vitro_differentiated_cells_H1_derived
ENCSR738OYT	ENCFF866HBM	neuronal_stem_in_vitro_differentiated_cells_H9_derived
ENCSR393SYU	ENCFF582AHA	neutrophil
ENCSR421OGY	ENCFF067XDD	neutrophil_primary_cell_male
ENCSR000EXD	ENCFF535JKB	NT2/D1
ENCSR422JNY	ENCFF373PXI	OCI-LY1
ENCSR548PZS	ENCFF057EOU	OCI-LY3
ENCSR005SXO	ENCFF168ARD	OCI-LY7
ENCSR000DXT	ENCFF001GDR	of_skeletal_muscle_primary_cell
ENCSR786NTC	ENCFF264HZC	osteoblast_primary_cell
ENCSR000DXB	ENCFF001GBJ	Panc1_immortalized_cell_line
ENCSR005DUS	ENCFF332GDL	pancreas_tissue_male_adult_34_years
ENCSR275NCH	ENCFF321KXR	PC-3
ENCSR841LMD	ENCFF459ZJO	peripheral_blood_mononuclear_primary_cell_female_adult_28_years
ENCSR878KIY	ENCFF184XML	Peyer's_patch_female_adult_53_years
ENCSR227QNS	ENCFF741KYY	placenta_tissue_female_fetal_108_days
ENCSR701EOS	ENCFF148WIP	psoas_muscle_tissue_male_adult_34_years
ENCSR433PUR	ENCFF038HSI	radial_glial_cell_derived_from_H9_stably_expressing_fusion_protein
ENCSR755PXK	ENCFF489HTJ	rectal_smooth_muscle_tissue_female_adult_50_years
ENCSR000DVK	ENCFF001FRH	retinal_pigment_epithelial_primary_cell
ENCSR344TLI	ENCFF249QWR	right_lobe_of_liver_female_adult_53_years
ENCSR751IJU	ENCFF524BXK	right_cardiac_atrium_tissue_male_adult_34_years
ENCSR752LMU	ENCFF620IAB	sigmoid_colon_tissue_male_adult_34_years
ENCSR000DXL	ENCFF001GED	SK-N-MC_immortalized_cell_line
ENCSR975GZA	ENCFF026ZRL	SK-N-SH
ENCSR000DXR	ENCFF001GFL	SK-N-SH_immortalized_cell_line_treated_with_6_\u03bcM_all-trans-retinoic_acid_for_48_hours
ENCSR596NOF	ENCFF211KTI	skeletal_muscle_myoblast_male_adult_22_years
ENCSR663TPA	ENCFF565TOX	skeletal_muscle_myoblast_primary_cell
ENCSR000ANK	ENCFF000BME	skeletal_muscle_myoblast_primary_cell_NONE_and_male_adult_22_years
ENCSR963FAP	ENCFF696ZJD	skeletal_muscle_satellite_primary_cell_female_adult
ENCSR693KKR	ENCFF510JXN	skeletal_muscle_tissue_female_adult_72_years
ENCSR697EXE	ENCFF141STN	skeletal_muscle_tissue_male_adult_54_years
ENCSR561OQA	ENCFF527CPQ	small_intestine_tissue_male_adult_34_years
ENCSR993QER	ENCFF288QAQ	small_intestine_tissue_male_fetal_108_days
ENCSR515PKY	ENCFF394FMW	smooth_muscle_cell_derived_from_H9
ENCSR857MYG	ENCFF250YPP	spleen_tissue_male_adult_34_years
ENCSR774NDT	ENCFF424WNA	stomach_smooth_muscle_tissue_female_adult_84_years
ENCSR400ILZ	ENCFF522VAL	stomach_tissue_fetal_101_day
ENCSR255LYV	ENCFF687NHR	stomach_tissue_male_adult_34_years
ENCSR734BGD	ENCFF879QZC	subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult_49_years
ENCSR374BLY	ENCFF727LGV	substantia_nigra_tissue_male_adult_81_year
ENCSR598APU	ENCFF878CCJ	T-cell_primary_cell
ENCSR108WMA	ENCFF971TDY	T-cell_primary_cell_male_adult_37_years
ENCSR234PGX	ENCFF389OVD	temporal_lobe_tissue_female_adult_75_years
ENCSR930HLX	ENCFF712GED	thoracic_aorta_male_adult_54_years
ENCSR920VBY	ENCFF559BWF	thymus_tissue_female_fetal_98_days
ENCSR521POX	ENCFF579KSZ	thymus_tissue_male_child_3_years
ENCSR975NOU	ENCFF782HFF	thyroid_gland_male_adult_54_years
ENCSR297HCQ	ENCFF183OBS	trophoblast_primary_cell_male_embryo
ENCSR091QLX	ENCFF912ODS	UCSF-4_stem_cell
ENCSR258UUX	ENCFF478IMR	vagina_female_adult_53_years
ENCSR000DXU	ENCFF381YGT	WERI-Rb-1
ENCSR000DXY	ENCFF001GGL	WI38_immortalized_cell_line_treated_with_20_nM_afimoxifene_for_72_hours_expressing_RAF1
